RTT,´ÎÊý
414,12
415,7
416,0
417,1
418,0
419,4
420,3
421,1
422,1
423,5
424,8
425,1
426,2
427,3
428,2
429,3
430,6
431,6
432,10
433,10
434,6
435,7
436,8
437,38
438,38
439,43
440,64
441,63
442,110
443,152
444,183
445,271
446,378
447,478
448,1186
449,2933
450,2221
451,1866
452,2721
453,1842
454,1478
455,1215
456,1028
457,1029
458,887
459,800
460,719
461,605
462,657
463,510
464,507
465,445
466,439
467,389
468,372
469,359
470,334
471,349
472,366
473,333
474,338
475,318
476,311
477,300
478,320
479,292
480,299
481,293
482,334
483,274
484,254
485,272
486,315
487,286
488,274
489,319
490,272
491,270
492,258
493,254
494,224
495,256
496,248
497,217
498,262
499,248
500,251
501,241
502,245
503,234
504,243
505,211
506,231
507,238
508,212
509,203
510,191
511,214
512,199
513,178
514,176
515,193
516,190
517,205
518,209
519,193
520,201
521,194
522,180
523,218
524,209
525,202
526,217
527,219
528,221
529,256
530,234
531,237
532,265
533,255
534,248
535,244
536,248
537,269
538,265
539,251
540,270
541,254
542,267
543,279
544,246
545,255
546,257
547,270
548,263
549,284
550,244
551,268
552,247
553,285
554,274
555,270
556,251
557,286
558,271
559,265
560,220
561,248
562,276
563,237
564,231
565,231
566,232
567,193
568,172
569,156
570,131
571,129
572,99
573,82
574,85
575,82
576,85
577,58
578,72
579,55
580,48
581,45
582,27
583,39
584,27
585,36
586,37
587,31
588,32
589,33
590,33
591,24
592,27
593,26
594,21
595,15
596,22
597,24
598,22
599,22
600,19
601,15
602,27
603,23
604,22
605,18
606,15
607,22
608,10
609,10
610,18
611,22
612,17
613,10
614,14
615,13
616,16
617,13
618,16
619,9
620,13
621,7
622,14
623,9
624,12
625,6
626,5
627,6
628,7
629,3
630,7
631,6
632,4
633,1
634,5
635,3
636,2
637,4
638,1
639,4
640,4
641,3
642,3
643,4
644,5
645,6
646,3
647,3
648,2
649,5
650,1
651,0
652,4
653,4
654,3
655,3
656,0
657,2
658,3
659,2
660,3
661,1
662,0
663,4
664,3
665,0
666,2
667,3
668,3
669,1
670,2
671,2
672,1
673,0
674,1
675,3
676,1
677,1
678,1
679,3
680,1
681,1
682,0
683,2
684,1
685,0
686,1
687,1
688,2
689,1
690,0
691,0
692,0
693,1
694,0
695,0
696,0
697,1
698,0
699,0
700,1
701,0
702,0
703,1
704,0
705,0
706,1
707,0
708,0
709,0
710,0
711,1
712,3
713,1
714,1
715,0
716,0
717,0
718,0
719,0
720,1
721,0
722,1
723,0
724,1
725,1
726,1
727,0
728,0
729,1
730,2
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,1
776,0
777,0
778,0
779,1
